country,carrier,2030,2040,2050
HU,hydro,55.0,55.0,55.0
HU,nuclear,948.0,,
HU,oil,410.0,410.0,
HU,onwind,4949.03,12654.41,15736.559999999998
HU,solar,11105.19,22595.559999999998,32778.4
IE,coal & lignite,39.0,,
IE,gas,4109.0,4814.0,8143.404222
IE,hydro,508.0,508.0,508.0
IE,offwind,3908.6500000000005,7376.02,23791.35
IE,oil,324.0,324.0,324.0
IE,onwind,6058.639999999999,10765.380000000001,16825.67
IE,solar,1274.63,3475.35,4948.25
IT,gas,40466.7999997,39452.799999099996,42660.20096717
IT,hydro,27979.080337530002,29079.120376580006,29079.120376580006
IT,offwind,8000.0,11499.9999998,14000.0
IT,onwind,26871.84999969,36897.959999900006,44553.65999915
IT,solar,88082.13504585001,178586.1843,250497.83496
LT,gas,403.2,1211.2,840.2
LT,hydro,1056.19999695,1056.19999695,1056.19999695
LT,offwind,1206.1,1206.1,1725.370409
LT,oil,150.0,150.0,150.0
LT,onwind,3438.54,4558.54,5166.54
LT,solar,1685.3,2212.7799999999997,3934.5699999999997
LU,gas,,386.0,789.5918291
LU,hydro,1352.0,1353.0,1353.0
LU,onwind,320.0,370.0,559.0
LU,solar,468.55,715.44,797.48
LV,gas,1061.0000000999999,1061.0000000999999,617.129071
LV,hydro,1601.0,1601.0,1601.0
LV,offwind,350.0,750.0,1256.460284
LV,onwind,896.26,1862.02,2280.0
LV,solar,453.51000000000005,1047.56,1910.31
NL,gas,13961.29999884,43230.299999669995,46660.37680966999
NL,hydro,37.70000076,37.70000076,37.70000076
NL,nuclear,486.0,,
NL,offwind,13999.999996999999,39000.000003,61999.997017
NL,onwind,9478.07,15600.99,20000.239999999998
NL,solar,50418.190004,76914.36,119469.419995
PL,coal & lignite,7445.5,,
PL,gas,10899.3,25289.3000002,29409.4700696
PL,hydro,2309.46997559,2309.46997559,2309.46997559
PL,offwind,7112.3,10991.55,15646.92759
PL,onwind,22120.699999999997,45069.35,63188.69
PL,solar,9375.38,20990.45,41229.369999999995
PT,gas,2839.0000002,2839.0000002,2839.0000002
PT,hydro,8390.63299561,8390.63299561,8390.63299561
PT,offwind,182.0,396.0,666.5356539
PT,onwind,12519.76,22544.19,27947.999999999996
PT,solar,14431.31,27319.8,37265.57
RO,coal & lignite,1685.3,,
RO,gas,5688.50199934,5594.5019993,8017.7669802
RO,hydro,6783.61437988,6783.61437988,6783.61437988
RO,nuclear,1300.0,1300.0,650.0
RO,offwind,,,113.9831731
RO,onwind,14892.34,31455.61,40632.81
RO,solar,12831.46,22946.17,43233.54
SE,gas,110.78899999999999,9949.789,3456.6784799999996
SE,hydro,16447.10009766,16447.10009766,16447.10009766
SE,nuclear,3687.0,,
SE,offwind,699.3,3750.01,10584.8526984
SE,onwind,23333.12,36083.18,43031.0
SE,solar,11813.45,22358.44,32871.07
SI,coal & lignite,539.0,,
SI,gas,445.0,445.0,445.0
SI,hydro,1457.69995117,1879.69995117,1879.69995117
SI,nuclear,703.0,703.0,
SI,offwind,,,59.84116588
SI,onwind,200.12,448.14,525.0
SI,solar,2549.59,6916.8099999999995,9185.900000000001
SK,coal & lignite,61.910524200000005,,
SK,gas,802.38,2967.38,4360.499565
SK,hydro,2539.5215168,2539.5215168,2539.5215168
SK,nuclear,2674.0000002,2674.0000002,1333.5999999
SK,oil,137.83,137.83,
SK,onwind,439.02,510.72,663.7
SK,solar,1197.1,1366.6,2389.82
